,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
27,0,0,0.0,-10.198476155412811,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
28,1,0,0.0,-10.44422326513496,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
29,1,0,0.05601978226352127,-7.329455879396752,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
30,1,0,0.036617015332554646,-6.293170746741618,4,二线城市,95.0,9025.0,0,1,0,0,0,1,0,4
31,1,0,0.007707503603628857,-10.040292760309525,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
32,0,0,0.01265207428191209,-9.303051431143068,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
33,1,6,0.022479355239639478,-9.706981935968503,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
34,0,0,0.0,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
35,1,1,0.016355303024447078,-9.54879854086522,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
36,0,0,0.11123763542050066,-10.44422326513496,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
37,0,0,0.04797496986109747,-10.198476155412811,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
38,1,0,0.0393032140650229,-10.198476155412811,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
39,1,0,0.0493694181599071,-5.942536935682703,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
40,1,0,0.1554704776423055,-10.44422326513496,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,4
41,0,0,0.0,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
42,1,0,0.06516094590308681,-8.75064184396315,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
43,1,0,0.0,-10.198476155412811,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
44,1,0,0.025866100216726175,-9.706981935968503,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
45,1,0,0.0900548517038783,-8.996388953685305,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,4
46,0,0,0.12275505810960008,-9.242136063407457,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
47,1,6,0.1808968503725942,-8.285795971402104,5,二线城市,57.0,3249.0,0,1,0,0,0,0,1,4
48,1,2,0.04298239635857769,-10.44422326513496,5,其他,106.0,11236.0,0,0,0,0,0,0,1,4
49,0,0,0.004477138491770161,-10.198476155412811,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
50,0,0,0.0,-10.44422326513496,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
51,1,0,0.10970176233503123,-9.952729045690658,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
52,1,0,0.06594310771295953,-9.952729045690658,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,4
53,0,0,0.0,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
54,0,0,0.12497514183595937,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
55,1,2,0.12435301051375773,-5.24680234875425,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
56,1,14,0.09276131192140112,-1.564766980481382,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
57,1,9,0.021613713908634268,-9.487883173129608,1,二线城市,0.0,0.0,0,1,1,0,0,0,0,4
58,1,0,0.015059335147097222,-8.346711339137716,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
59,1,3,0.030485436840977553,4.118615120154259,5,一线城市,76.0,5776.0,1,0,0,0,0,0,1,4
60,0,0,0.007673582124390126,-10.198476155412811,1,其他,97.0,9409.0,0,0,1,0,0,0,0,4
