,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
447,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-8.550253462991588,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
1,0.26327433628318586,-2.743362831858407,-0.045657641150900194,-10.224714537425047,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
6,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-9.752023766208412,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
8,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-9.365498619611966,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
9,-0.7367256637168141,-2.743362831858407,-0.05837710945461472,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
19,-0.7367256637168141,-2.743362831858407,-0.05345091248706646,-9.264721361360062,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
21,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
25,0.26327433628318586,-2.743362831858407,0.1267825132676254,-8.33395145255871,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
29,0.26327433628318586,-2.743362831858407,0.0005960375141389751,-7.108389623621939,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
31,0.26327433628318586,-2.743362831858407,-0.06032591329412573,-9.838189390828532,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
34,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
39,0.26327433628318586,-2.743362831858407,-0.0068069016333103805,-5.776482934592359,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
41,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
43,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
48,0.26327433628318586,-0.7433628318584069,-0.012044780728119285,-10.224714537424976,72.39380530973452,5384.884955752213,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
53,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
54,-0.7367256637168141,-2.743362831858407,0.11080704949619787,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
56,0.26327433628318586,11.256637168141593,0.04968601659814727,-1.363042200864212,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
60,-0.7367256637168141,-2.743362831858407,-0.060334475308798055,-9.988369151816695,63.39380530973451,3557.8849557522126,-0.28982300884955753,-0.45132743362831856,0.9889380530973452,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
61,0.26327433628318586,-1.743362831858407,-0.06984634479767372,-8.491671068167168,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
68,0.26327433628318586,0.2566371681415931,-0.043922138479385,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
69,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
70,0.26327433628318586,-2.743362831858407,0.030304269052248548,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
71,0.26327433628318586,-2.743362831858407,-0.02255717325408077,-9.279332994991845,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
72,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-9.988369151816695,14.39380530973451,-3547.1150442477874,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
76,-0.7367256637168141,-0.7433628318584069,-0.027930758553194185,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
81,0.26327433628318586,-2.743362831858407,0.02590637003517092,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
82,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
84,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
88,0.26327433628318586,-2.743362831858407,-0.06328331671642363,-9.042987609383562,221.39380530973452,59173.88495575221,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
92,-0.7367256637168141,-1.743362831858407,-0.06489326430444571,-9.752023766208412,10.39380530973451,-3915.1150442477874,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
99,0.26327433628318586,5.256637168141593,-0.06671583466773867,-9.752023766208412,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
100,-0.7367256637168141,-2.743362831858407,-0.008479437322094933,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
101,0.26327433628318586,-2.743362831858407,0.09904167591763498,-9.042987609383562,188.39380530973452,43432.88495575221,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
103,0.26327433628318586,13.256637168141593,-0.02056250768747552,-5.761871300960573,20.39380530973451,-2935.1150442477874,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
104,0.26327433628318586,0.2566371681415931,-0.06199991284394768,-8.555685204535207,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
109,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-9.752023766208412,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
111,0.26327433628318586,2.256637168141593,0.018585799608530004,-9.838189390828532,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
113,0.26327433628318586,-2.743362831858407,-0.06147517958706808,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
114,0.26327433628318586,-2.743362831858407,-0.06116743964795064,-9.515678380600123,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
116,0.26327433628318586,-2.743362831858407,0.1771995301833037,-10.224714537424976,190.39380530973452,44324.88495575221,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
117,0.26327433628318586,4.256637168141593,-0.029848994423501196,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
118,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-9.988369151816695,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
121,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
122,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
127,0.26327433628318586,-2.743362831858407,-0.06984634479767372,-9.264721361360062,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,0.7323008849557522
138,0.26327433628318586,1.256637168141593,0.036073646298633036,-10.224714537424976,221.39380530973452,59173.88495575221,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
139,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
143,0.26327433628318586,2.256637168141593,-0.038011891949808654,-8.792030590143494,29.39380530973451,-1882.1150442477874,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
148,0.26327433628318586,-1.743362831858407,0.02232643613024031,-9.264721361360062,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,0.665929203539823,-0.2676991150442478
149,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,-0.22123893805309736,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
151,-0.7367256637168141,-2.743362831858407,-0.06984634479767372,-10.224714537424976,-33.60619469026549,-5851.115044247787,-0.28982300884955753,-0.45132743362831856,-0.011061946902654867,0.7787610619469026,-0.046460176991150445,-0.334070796460177,-0.2676991150442478
