,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
218,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
219,1,13,0.16429331596377098,465.6694594113555,255.0,65025.0,1,0,0,1,0,0,0,2
220,1,0,0.004199536274260954,-9.042987609383557,0.0,0.0,1,0,0,0,0,0,1,2
221,0,0,0.06873622828308402,-9.515678380600121,0.0,0.0,0,1,0,1,0,0,0,2
222,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,1,0,0,0,2
223,1,0,0.019318215036117442,-9.515678380600121,0.0,0.0,1,0,0,0,0,1,0,2
224,1,27,0.07308085080725464,6.723607589724275,255.0,65025.0,0,1,0,0,0,0,1,2
225,0,3,0.3280794877192173,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
226,1,0,0.06691002000739141,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
227,1,11,0.5049663126457811,-9.515678380600121,0.0,0.0,0,1,0,0,0,1,0,2
228,0,0,0.027783310246176276,-8.806642223775274,0.0,0.0,0,1,0,1,0,0,0,2
229,1,4,0.15700893845661174,-5.1884032714920965,0.0,0.0,1,0,0,0,0,1,0,2
230,1,7,0.05249244325951094,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,1,2
231,0,0,0.1176488770141389,-9.752023766208406,0.0,0.0,0,1,0,0,0,0,0,2
232,1,5,0.3643025380043525,-10.22471453742497,56.0,3136.0,0,1,0,0,0,1,0,2
233,0,8,0.09030645707907278,-5.476123412616025,0.0,0.0,0,1,0,1,0,0,0,2
234,1,0,0.0,-8.806642223775274,0.0,0.0,0,1,0,0,0,1,0,2
235,1,9,0.10059725812894682,-8.068382799686853,58.0,3364.0,0,1,0,0,1,0,0,2
236,1,0,0.0,-9.98836915181669,0.0,0.0,1,0,0,0,1,0,0,2
237,1,1,0.17886913898267567,-8.878196214763607,0.0,0.0,0,0,0,0,0,1,0,2
238,0,0,0.08461851859934874,-9.98836915181669,75.0,5625.0,0,1,0,1,0,0,0,2
239,1,5,0.13429932261474928,3.321534787576696,53.0,2809.0,0,1,0,0,0,0,1,2
240,1,0,0.05334089385533077,-9.752023766208406,0.0,0.0,0,0,0,0,0,0,1,2
241,1,0,0.020560291580010964,-9.752023766208406,0.0,0.0,0,0,0,1,0,0,0,2
242,1,0,0.06478075351077667,-9.98836915181669,0.0,0.0,0,1,0,0,0,1,0,2
243,1,0,0.010695501878084964,-9.752023766208406,100.0,10000.0,0,1,0,0,0,0,1,2
244,1,0,0.046497616022160605,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
245,1,2,0.06614455832266519,-8.319339818926922,145.0,21025.0,0,1,0,0,0,0,1,2
246,1,0,0.2539815263282864,-7.058987120885674,0.0,0.0,0,1,0,0,0,0,1,2
247,0,1,0.09196301552045927,-9.515678380600121,47.0,2209.0,0,1,0,1,0,0,0,2
248,0,0,0.03746234494753346,-9.98836915181669,0.0,0.0,1,0,0,1,0,0,0,2
249,1,0,0.005121615551456943,-9.27933299499184,0.0,0.0,0,0,0,0,0,0,1,2
250,1,0,0.3506861675191915,-9.98836915181669,0.0,0.0,1,0,0,1,0,0,0,2
251,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
252,1,2,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,1,0,2
253,1,1,0.05575979694285251,-9.515678380600121,0.0,0.0,0,1,0,0,0,0,1,2
254,1,0,0.18741516102351277,36.08735879374064,0.0,0.0,0,1,0,0,0,0,1,2
255,1,0,0.010171769076176325,-9.601844005220242,0.0,0.0,0,1,0,0,0,0,1,2
256,0,0,0.07915034064211515,-9.601844005220242,0.0,0.0,0,1,0,0,0,0,0,2
257,1,0,0.02854608094501224,-9.27933299499184,0.0,0.0,0,1,0,0,0,1,0,2
258,1,3,0.06412279223333817,-6.485519091417203,0.0,0.0,0,0,0,0,0,0,1,2
259,1,0,0.3483820686619897,-8.420117077178826,0.0,0.0,0,1,0,0,0,0,1,2
260,1,0,0.27579157631002515,-5.992649084727946,0.0,0.0,0,1,0,0,0,0,1,2
261,1,0,0.05158765994976816,-3.8711082160943016,0.0,0.0,0,1,0,0,0,0,1,2
262,0,0,0.0,-9.838189390828527,0.0,0.0,0,1,0,0,0,0,0,2
263,1,9,0.1095043031418937,633.4978834903957,0.0,0.0,1,0,0,0,0,0,1,2
264,0,0,0.005888543193619531,-9.042987609383557,0.0,0.0,0,1,0,0,0,0,1,2
265,0,2,0.0,-10.22471453742497,0.0,0.0,0,0,1,0,0,0,0,2
266,1,3,0.0,-9.98836915181669,111.0,12321.0,0,0,0,1,0,0,0,2
267,1,0,0.0,-9.752023766208406,0.0,0.0,1,0,0,1,0,0,0,2
268,0,12,0.6931471805599453,-8.00436866331881,106.0,11236.0,0,1,0,0,0,0,0,2
269,0,10,0.006976919398031036,-10.22471453742497,237.0,56169.0,0,0,0,0,0,0,0,2
270,1,0,0.011081521533667671,-9.98836915181669,0.0,0.0,1,0,0,0,0,1,0,2
271,1,0,0.0,-8.555685204535203,0.0,0.0,0,0,1,0,0,0,0,2
272,0,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,1,0,2
273,1,0,0.017121035418226786,-9.264721361360055,0.0,0.0,0,0,0,0,0,1,0,2
274,1,7,0.19106978313695774,-9.98836915181669,57.0,3249.0,0,1,0,0,0,1,0,2
275,1,1,0.3353726245421342,-7.868800535962427,0.0,0.0,1,0,0,1,0,0,0,2
276,0,6,0.11493151191784047,-9.028375975751771,71.0,5041.0,1,0,0,1,0,0,0,2
277,1,9,0.08558128266718262,7.91437854955658,0.0,0.0,0,1,0,0,0,0,1,2
278,0,1,0.013377373949080342,-9.98836915181669,0.0,0.0,0,1,0,0,0,0,0,2
279,1,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
280,0,0,0.04152600600311289,-10.22471453742497,81.0,6561.0,0,0,0,1,0,0,0,2
281,1,0,0.02571188282584569,-8.35610294081078,0.0,0.0,1,0,0,0,0,1,0,2
282,1,1,0.15535957159332717,159.89423551658044,99.0,9801.0,0,1,0,0,0,0,1,2
283,1,0,0.0,-9.752023766208406,0.0,0.0,0,0,0,0,0,1,0,2
284,1,0,0.10491832576505529,-1.9677057503756301,0.0,0.0,0,1,0,0,0,0,1,2
285,1,3,0.08117620609261303,-6.285936827692776,0.0,0.0,1,0,0,0,0,0,1,2
286,0,25,0.10764861763837826,43.87005371329127,46.0,2116.0,0,1,0,1,0,0,0,2
287,1,0,0.011123006634928066,-9.98836915181669,0.0,0.0,0,1,0,0,0,0,1,2
288,0,0,0.06557559318473553,-7.410721398377647,0.0,0.0,1,0,0,0,0,1,0,2
289,1,0,0.0,-8.319339818926922,73.0,5329.0,1,0,0,1,0,0,0,2
290,0,0,0.23406442965384264,-10.22471453742497,88.0,7744.0,0,0,0,1,0,0,0,2
291,1,1,0.09868034595577166,13.930862227027063,0.0,0.0,0,1,0,0,0,1,0,2
