,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
340,1,3,0.04051160580774876,-9.630767103027768,4,二线城市,101.0,10201.0,0,1,0,0,0,1,0,1
341,1,1,0.029584764461668057,-8.902993238310428,5,二线城市,101.0,10201.0,0,1,0,0,0,0,1,1
342,1,1,0.03828337151934603,-8.436052305610003,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
343,1,1,0.010728390492770688,-6.019260245107769,2,二线城市,255.0,65025.0,0,1,0,1,0,0,0,1
344,1,0,0.07582813146411185,4.060123998268186,5,二线城市,50.0,2500.0,0,1,0,0,0,0,1,1
345,1,0,0.013558554117925297,-9.136463704660644,4,二线城市,43.0,1849.0,0,1,0,0,0,1,0,1
346,1,0,0.030163828423875695,-3.701464887225984,5,二线城市,255.0,65025.0,0,1,0,0,0,0,1,1
347,1,1,0.07841807860172767,-10.097708035728198,0,二线城市,49.0,2401.0,0,1,0,0,0,0,0,1
348,1,0,0.24084085426470775,-9.630767103027768,4,二线城市,41.0,1681.0,0,1,0,0,0,1,0,1
349,0,15,0.05413280838698261,-9.864237569377984,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
350,1,1,0.04763599050499792,-8.289420530974674,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
351,1,1,0.520204814990048,-7.616371597590731,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
352,1,0,0.0,-10.097708035728198,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
353,1,0,0.09338038433280521,-0.42072034741743475,5,二线城市,70.0,4900.0,0,1,0,0,0,0,1,1
354,1,0,0.08628067595413673,5.754210345640133,4,一线城市,37.0,1369.0,1,0,0,0,0,1,0,1
355,1,0,0.005540040173477954,-8.22994430492649,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
356,0,5,0.6904449043368526,-9.71760579474265,2,二线城市,128.0,16384.0,0,1,0,1,0,0,0,1
357,0,0,0.025621713277623713,-10.097708035728198,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
358,1,0,0.06630243755173494,-9.136463704660644,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
359,0,0,0.0,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
360,1,5,0.011637417495370285,-9.250664862042228,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,1
361,1,0,0.05514078546535843,-3.8906635822891524,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
362,1,1,0.04361345318851906,-7.213975042525538,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
363,0,0,0.0,-10.097708035728198,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
364,1,0,0.026960832759461678,-8.902993238310428,4,二线城市,68.0,4624.0,0,1,0,0,0,1,0,1
365,1,0,0.01175570725070367,-8.463414771276703,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
366,0,0,0.0,-9.630767103027768,0,其他,0.0,0.0,0,0,0,0,0,0,0,1
367,1,4,0.09320695043236564,-8.902993238310428,5,一线城市,78.0,6084.0,1,0,0,0,0,0,1,1
368,1,30,0.09641746958064218,46.711611355031735,5,二线城市,245.0,60025.0,0,1,0,0,0,0,1,1
369,1,4,0.06406763605583812,-1.3272397471515869,5,二线城市,81.0,6561.0,0,1,0,0,0,0,1,1
370,0,2,0.07533395286951365,-10.097708035728198,2,二线城市,45.0,2025.0,0,1,0,1,0,0,0,1
371,1,0,0.0,-9.864237569377984,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
372,1,5,0.0684174850990642,0.10601366820344155,3,二线城市,255.0,65025.0,0,1,0,0,1,0,0,1
373,1,0,0.031105031883418833,-8.930355703977131,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
374,0,0,0.0,-10.097708035728198,3,其他,0.0,0.0,0,0,0,0,1,0,0,1
375,1,6,0.05299379697777453,-8.902993238310428,2,二线城市,87.0,7569.0,0,1,0,1,0,0,0,1
376,1,32,0.04774355921265185,-0.5994658824342475,5,其他,131.0,17161.0,0,0,0,0,0,0,1,1
377,1,0,0.0,-9.630767103027768,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
378,1,0,0.0,-10.097708035728198,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
379,1,1,0.0649060711398232,199.24099199074095,4,一线城市,243.0,59049.0,1,0,0,0,0,1,0,1
380,1,11,0.08329747859133932,67.07141969088013,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
381,1,17,0.04586202190778263,-5.666520469788927,2,二线城市,50.0,2500.0,0,1,0,1,0,0,0,1
382,1,0,0.014763154220634832,-6.801759041158512,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
